country,downloads
US,5720329
DE,997108
GB,655465
IN,604724
CN,570994
FR,472642
KR,432837
JP,410419
HK,372691
ES,347542
CA,337082
BR,321685
AU,304261
NL,256361
CH,247289
IT,191487
TW,182341
MX,179510
RU,150696
CO,147024
PL,139922
DK,100223
BE,97972
SE,93692
IE,90411
AT,88982
SG,83152
FI,77934
PT,63969
NO,61168
ZA,58312
NZ,57131
TR,54362
CZ,53840
CL,53078
AR,47766
DM,44151
EU,40384
TH,38751
PE,37857
IL,36868
ID,36564
GR,34398
HU,33880
EC,28790
RO,26841
MY,25568
VN,25192
UA,24762
PH,24708
CR,24428
LT,18692
PK,18359
SI,17122
IR,16369
TN,15248
EG,15018
EE,14729
KE,13896
HR,13625
PS,12851
VE,12844
SK,12656
SA,12530
PR,10411
LB,9822
GH,9258
LU,8299
MA,8264
AE,7843
UY,7376
GT,7338
RS,7299
BY,7299
BG,6720
BJ,6121
IS,5979
NG,5748
NP,5317
MT,4916
SN,4811
AP,4212
LV,4162
MU,3935
BO,3887
MK,3643
BD,3591
LK,3444
RE,3284
ET,3136
PA,3127
JO,2973
MO,2856
DO,2850
SV,2730
CI,2655
CY,2433
UG,2311
CM,2222
DZ,1863
TZ,1818
AO,1817
AM,1768
ZM,1661
LI,1654
KZ,1649
ZW,1624
BF,1559
SZ,1401
NI,1391
CD,1373
MG,1365
QA,1317
CU,1310
JM,1286
A1,1270
BN,1239
PY,1158
ML,1129
HN,1071
AZ,1017
KW,882
BA,772
KG,744
GE,675
TT,653
PF,637
MN,627
MD,623
MW,592
IQ,579
RW,576
A2,552
OM,551
MZ,546
KH,509
CW,481
AD,467
SC,457
TG,434
SD,432
AL,409
LC,384
GP,381
CV,368
HT,346
NE,330
LA,311
NC,309
MM,306
BM,293
GL,280
LS,262
MV,260
NA,259
BB,256
VI,254
SY,241
BH,231
GA,230
TL,201
ME,198
BT,193
GU,190
IM,189
FJ,183
AG,170
MR,166
GM,136
BI,135
FM,132
GI,125
BW,123
AW,109
BZ,90
CF,86
CG,74
UZ,70
MC,68
GF,67
PG,64
MQ,62
SR,62
LR,59
KM,54
FO,52
AF,52
SL,48
BS,46
MF,46
KY,38
KN,36
GD,36
SO,35
PM,34
GN,33
YT,33
GY,31
ST,30
DJ,29
AX,22
LY,21
GG,13
VU,9
VC,7
AS,5
TO,5
SB,5
TC,3
BQ,2
MP,1
YE,1
JE,1
