country,downloads
US,5995739
DE,1703396
GB,842241
IN,712692
CN,693758
FR,556978
KR,506395
AU,499886
JP,499647
ES,495919
CA,446881
BR,424341
HK,414854
NL,337632
CH,284961
IT,281545
TW,244277
MX,200669
PL,164819
CO,164664
RU,150249
GR,140225
BE,132371
SE,128554
DK,117888
AT,112634
FI,98723
SG,92690
NZ,77851
PE,77584
TR,74841
CL,73216
AR,73175
PT,70577
ZA,70217
IL,67522
NO,62791
IE,57380
ID,53279
CZ,50799
RO,45557
TH,45065
MY,38333
EU,37597
HU,37538
EC,35469
VN,34287
LT,30485
CR,29255
UA,28712
KE,26037
PK,23991
PH,22028
IR,20818
VE,17177
EE,16825
SI,16753
BG,16394
SA,16059
HR,15417
EG,14822
RS,13825
NP,12459
TN,12358
PR,12271
LU,10755
MA,10676
UY,10663
LK,10532
SK,9872
SN,9609
BO,9049
IS,8731
GT,8312
AE,8169
BY,7352
NG,7331
AP,6409
CM,6365
LV,5960
GH,5865
TZ,5601
QA,5241
PA,4594
BD,4502
RE,4277
DO,4196
ET,4079
LB,3909
MT,3513
DZ,3452
CY,3184
MU,3005
A1,2958
MK,2833
MO,2827
GE,2146
SV,2083
BJ,1983
KZ,1963
MN,1931
JO,1912
UG,1870
CI,1855
PY,1836
BF,1829
AM,1814
HN,1807
ZM,1659
NI,1526
MG,1519
PS,1465
KW,1452
BA,1447
ZW,1434
AO,1369
AL,1347
OM,1346
JM,1148
MZ,1140
AZ,1119
ML,1088
A2,1039
KH,976
LI,965
TT,953
BH,888
BS,886
CW,866
SD,811
IQ,799
CU,748
MW,672
AD,631
DM,627
RW,537
KG,534
GP,529
FJ,487
HT,469
SC,462
BB,427
TG,409
NC,404
CD,399
BM,395
BT,390
BI,386
FO,375
MD,373
MC,369
CV,359
ME,351
PF,347
LA,332
TJ,323
LC,312
GM,306
MM,303
SZ,289
SY,282
LS,274
PG,268
BN,260
BW,260
UZ,245
KY,237
GL,228
NA,215
MQ,207
MV,188
KN,174
MF,174
NE,171
GU,157
GI,154
LR,151
AF,149
FM,135
BZ,133
IM,125
MR,124
AG,115
VI,107
MP,101
SL,98
FK,97
SR,93
GA,85
CG,84
GF,75
GY,74
YE,60
DJ,54
AW,54
KM,45
GN,45
BQ,44
JE,38
PW,37
ST,32
AX,25
TL,18
LY,14
VG,13
GD,6
